"図鑑番号","ポケモン名","HP","A","B","C","D","S","タイプ１","タイプ２","通常特性１","通常特性２","夢特性","合計","重さ(kg)","体重技威力"
"449","ヒポポタス","68","72","78","38","42","32","地","-","すなおこし","-","すなのちから","330","49.5","80"
"450","カバルドン","108","112","118","68","72","47","地","-","すなおこし","-","すなのちから","525","300","120"
"451","スコルピ","40","50","90","30","55","65","毒","虫","カブトアーマー"," スナイパー","するどいめ","330","12","40"
"452","ドラピオン","70","90","110","60","75","95","毒","悪","カブトアーマー"," スナイパー","するどいめ","500","61.5","80"
"453","グレッグル","48","61","40","61","40","50","毒","格","きけんよち"," かんそうはだ","どくしゅ","300","23","40"
"454","ドクロッグ","83","106","65","86","65","85","毒","格","きけんよち"," かんそうはだ","どくしゅ","490","44.4","80"
"455","マスキッパ","74","100","72","90","72","46","草","-","ふゆう","-","-","454","27","60"
"456","ケイコウオ","49","49","56","49","61","66","水","-","すいすい"," よびみず","みずのベール","330","7","20"
"457","ネオラント","69","69","76","69","86","91","水","-","すいすい"," よびみず","みずのベール","460","24","40"
"458","タマンタ","45","20","50","60","120","50","水","飛","すいすい"," ちょすい","みずのベール","345","65","80"
"459","ユキカブリ","60","62","50","62","60","40","草","氷","ゆきふらし","-","ぼうおん","334","50.5","80"
"460","ユキノオー","90","92","75","92","85","60","草","氷","ゆきふらし","-","ぼうおん","494","135.5","100"
"460-1","メガユキノオー","90","132","105","132","105","30","草","氷","ゆきふらし","-","-","594","185","100"
"461","マニューラ","70","120","65","45","85","125","悪","氷","プレッシャー","-","わるいてぐせ","510","34","60"
"462","ジバコイル","70","70","115","130","90","60","電","鋼","じりょく"," がんじょう","アナライズ","535","180","100"
"463","ベロベルト","110","85","95","80","95","50","ノ","-","マイペース"," どんかん","ノーてんき","515","140","100"
"464","ドサイドン","115","140","130","55","55","40","地","岩","ひらいしん"," ハードロック","すてみ","535","282.8","120"
"465","モジャンボ","100","100","125","110","50","50","草","-","ようりょくそ"," リーフガード","さいせいりょく","535","128.6","100"
"466","エレキブル","75","123","67","95","85","95","電","-","でんきエンジン","-","やるき","540","138.6","100"
"467","ブーバーン","75","95","67","125","95","83","炎","-","ほのおのからだ","-","やるき","540","68","80"
"468","トゲキッス","85","50","95","120","115","80","妖","飛","はりきり"," てんのめぐみ","きょううん","545","38","60"
"469","メガヤンマ","86","76","86","116","56","95","虫","飛","かそく"," いろめがね","おみとおし","515","51.5","80"
"470","リーフィア","65","110","130","60","65","95","草","-","リーフガード","-","ようりょくそ","525","25.5","60"
"471","グレイシア","65","60","110","130","95","65","氷","-","ゆきがくれ","-","アイスボディ","525","25.9","60"
"472","グライオン","75","95","125","45","75","95","地","飛","かいりきバサミ"," すながくれ","ポイズンヒール","510","42.5","80"
"473","マンムー","110","130","80","70","60","80","氷","地","どんかん"," ゆきがくれ","あついしぼう","530","291","120"
"474","ポリゴンＺ","85","80","70","135","75","90","ノ","-","てきおうりょく"," ダウンロード","アナライズ","535","34","60"
"475","エルレイド","68","125","65","65","115","80","超","格","ふくつのこころ","-","せいぎのこころ","518","52","80"
"475-1","メガエルレイド","68","165","95","65","115","110","超","格","せいしんりょく","-","-","618","56.4","80"
"476","ダイノーズ","60","55","145","75","150","40","岩","鋼","がんじょう"," じりょく","すなのちから","525","340","120"
"477","ヨノワール","45","100","135","65","135","45","霊","-","プレッシャー","-","おみとおし","525","106.6","100"
"478","ユキメノコ","70","80","70","80","70","110","氷","霊","ゆきがくれ","-","のろわれボディ","480","26.6","60"
"479","ロトム","50","50","77","95","77","91","電","霊","ふゆう","-","-","440","0.3","20"
"479-1","ロトム炎","50","65","107","105","107","86","電","炎","ふゆう","-","-","520","0.3","20"
"479-2","ロトム水","50","65","107","105","107","86","電","水","ふゆう","-","-","520","0.3","20"
"479-3","ロトム氷","50","65","107","105","107","86","電","氷","ふゆう","-","-","520","0.3","20"
"479-4","ロトム飛","50","65","107","105","107","86","電","飛","ふゆう","-","-","520","0.3","20"
"479-5","ロトム草","50","65","107","105","107","86","電","草","ふゆう","-","-","520","0.3","20"
"480","ユクシー","75","75","130","75","130","95","超","-","ふゆう","-","-","580","0.3","20"
"481","エムリット","80","105","105","105","105","80","超","-","ふゆう","-","-","580","0.3","20"
"482","アグノム","75","125","70","125","70","115","超","-","ふゆう","-","-","580","0.3","20"
"483","ディアルガ","100","120","120","150","100","90","鋼","竜","プレッシャー","-","テレパシー","680","683","120"
"484","パルキア","90","120","100","150","120","100","水","竜","プレッシャー","-","テレパシー","680","336","120"
"485","ヒードラン","91","90","106","130","106","77","炎","鋼","もらいび","-","ほのおのからだ","600","430","120"
"486","レジギガス","110","160","110","80","110","100","ノ","-","スロースタート","-","-","670","420","120"
"487","ギラティナA","150","100","120","100","120","90","霊","竜","プレッシャー","-","テレパシー","680","750","120"
"487-1","ギラティナO","150","120","100","120","100","90","霊","竜","ふゆう","-","-","680","650","120"
"488","クレセリア","120","70","120","75","130","85","超","-","ふゆう","-","-","600","85.6","80"
"489","フィオネ","80","80","80","80","80","80","水","-","うるおいボディ","-","-","480","3.1","20"
"490","マナフィ","100","100","100","100","100","100","水","-","うるおいボディ","-","-","600","1.4","20"
"491","ダークライ","70","90","90","135","90","125","悪","-","ナイトメア","-","-","600","50.5","80"
"492","シェイミL","100","100","100","100","100","100","草","-","しぜんかいふく","-","-","600","2.1","20"
"492-1","シェイミS","100","103","75","120","75","127","草","飛","てんのめぐみ","-","-","600","5.2","20"
"493","アルセウス","120","120","120","120","120","120","ノ","-","マルチタイプ","-","-","720","320","120"
"494","ビクティニ","100","100","100","100","100","100","超","炎","しょうりのほし","-","-","600","4","20"
"495","ツタージャ","45","45","55","45","55","63","草","-","しんりょく","-","あまのじゃく","308","8.1","20"
"496","ジャノビー","60","60","75","60","75","83","草","-","しんりょく","-","あまのじゃく","413","16","40"
"497","ジャローダ","75","75","95","75","95","113","草","-","しんりょく","-","あまのじゃく","528","63","80"
"498","ポカブ","65","63","45","45","45","45","炎","-","もうか","-","あついしぼう","308","9.9","20"
"499","チャオブー","90","93","55","70","55","55","炎","格","もうか","-","あついしぼう","418","55.5","80"
"500","エンブオー","110","123","65","100","65","65","炎","格","もうか","-","すてみ","528","150","100"
"501","ミジュマル","55","55","45","63","45","45","水","-","げきりゅう","-","シェルアーマー","308","5.9","20"
"502","フタチマル","75","75","60","83","60","60","水","-","げきりゅう","-","シェルアーマー","413","24.5","40"
"503","ダイケンキ","95","100","85","108","70","70","水","-","げきりゅう","-","シェルアーマー","528","94.6","80"
"504","ミネズミ","45","55","39","35","39","42","ノ","-","にげあし"," するどいめ","アナライズ","255","11.6","40"
"505","ミルホッグ","60","85","69","60","69","77","ノ","-","はっこう"," するどいめ","アナライズ","420","27","60"
"506","ヨーテリー","45","60","45","25","45","55","ノ","-","やるき"," ものひろい","にげあし","275","4.1","20"
"507","ハーデリア","65","80","65","35","65","60","ノ","-","いかく"," すなかき","きもったま","370","14.7","40"
"508","ムーランド","85","110","90","45","90","80","ノ","-","いかく"," すなかき","きもったま","500","61","80"
"509","チョロネコ","41","50","37","50","37","66","悪","-","じゅうなん"," かるわざ","いたずらごころ","281","10.1","40"
"510","レパルダス","64","88","50","88","50","106","悪","-","じゅうなん"," かるわざ","いたずらごころ","446","37.5","60"
"511","ヤナップ","50","53","48","53","48","64","草","-","くいしんぼう","-","しんりょく","316","10.5","40"
"512","ヤナッキー","75","98","63","98","63","101","草","-","くいしんぼう","-","しんりょく","498","30.5","60"
"513","バオップ","50","53","48","53","48","64","炎","-","くいしんぼう","-","もうか","316","11","40"
"514","バオッキー","75","98","63","98","63","101","炎","-","くいしんぼう","-","もうか","498","28","60"
"515","ヒヤップ","50","53","48","53","48","64","水","-","くいしんぼう","-","げきりゅう","316","13.5","40"
"516","ヒヤッキー","75","98","63","98","63","101","水","-","くいしんぼう","-","げきりゅう","498","29","60"
"517","ムンナ","76","25","45","67","55","24","超","-","よちむ"," シンクロ","テレパシー","292","23.3","40"
"518","ムシャーナ","116","55","85","107","95","29","超","-","よちむ"," シンクロ","テレパシー","487","60.5","80"
"519","マメパト","50","55","50","36","30","43","ノ","飛","はとむね"," きょううん","とうそうしん","264","2.1","20"
"520","ハトーボー","62","77","62","50","42","65","ノ","飛","はとむね"," きょううん","とうそうしん","358","15","40"
"521","ケンホロウ","80","115","80","65","55","93","ノ","飛","はとむね"," きょううん","とうそうしん","488","29","60"
"522","シママ","45","60","32","50","32","76","電","-","ひらいしん"," でんきエンジン","そうしょく","295","29.8","60"
"523","ゼブライカ","75","100","63","80","63","116","電","-","ひらいしん"," でんきエンジン","そうしょく","497","79.5","80"
"524","ダンゴロ","55","75","85","25","25","15","岩","-","がんじょう"," くだけるよろい","すなのちから","280","18","40"
"525","ガントル","70","105","105","50","40","20","岩","-","がんじょう"," くだけるよろい","すなのちから","390","102","100"
"526","ギガイアス","85","135","130","60","80","25","岩","-","がんじょう"," すなおこし","すなのちから","515","260","120"
"527","コロモリ","65","45","43","55","43","72","超","飛","てんねん"," ぶきよう","たんじゅん","323","2.1","20"
"528","ココロモリ","67","57","55","77","55","114","超","飛","てんねん"," ぶきよう","たんじゅん","425","10.5","40"
"529","モグリュー","60","85","40","30","45","68","地","-","すなかき"," すなのちから","かたやぶり","328","8.5","20"
"530","ドリュウズ","110","135","60","50","65","88","地","鋼","すなかき"," すなのちから","かたやぶり","508","40.4","80"
"531","タブンネ","103","60","86","60","86","50","ノ","-","いやしのこころ"," さいせいりょく","ぶきよう","445","31","60"
"531-1","メガタブンネ","103","60","126","80","126","50","ノ","妖","いやしのこころ","-","-","545","32","60"
"532","ドッコラー","75","80","55","25","35","35","格","-","こんじょう"," ちからずく","てつのこぶし","305","12.5","40"
"533","ドテッコツ","85","105","85","40","50","40","格","-","こんじょう"," ちからずく","てつのこぶし","405","40","80"
"534","ローブシン","105","140","95","55","65","45","格","-","こんじょう"," ちからずく","てつのこぶし","505","87","80"
"535","オタマロ","50","50","40","50","40","64","水","-","すいすい"," うるおいボディ","ちょすい","294","4.5","20"
"536","ガマガル","75","65","55","65","55","69","水","地","すいすい"," うるおいボディ","ちょすい","384","17","40"
"537","ガマゲロゲ","105","95","75","85","75","74","水","地","すいすい"," どくしゅ","ちょすい","509","62","80"
"538","ナゲキ","120","100","85","30","85","45","格","-","こんじょう"," せいしんりょく","かたやぶり","465","55.5","80"
"539","ダゲキ","75","125","75","30","75","85","格","-","がんじょう"," せいしんりょく","かたやぶり","465","51","80"
"540","クルミル","45","53","70","40","60","42","虫","草","むしのしらせ"," ようりょくそ","ぼうじん","310","2.5","20"
"541","クルマユ","55","63","90","50","80","42","虫","草","リーフガード"," ようりょくそ","ぼうじん","380","7.3","20"
"542","ハハコモリ","75","103","80","70","80","92","虫","草","むしのしらせ"," ようりょくそ","ぼうじん","500","20.5","40"
"543","フシデ","30","45","59","30","39","57","虫","毒","どくのトゲ"," むしのしらせ","かそく","260","5.3","20"
"544","ホイーガ","40","55","99","40","79","47","虫","毒","どくのトゲ"," むしのしらせ","かそく","360","58.5","80"
"545","ペンドラー","60","100","89","55","69","112","虫","毒","どくのトゲ"," むしのしらせ","かそく","485","200.5","120"
"546","モンメン","40","27","60","37","50","66","草","妖","いたずらごころ"," すりぬけ","ようりょくそ","280","0.6","20"
"547","エルフーン","60","67","85","77","75","116","草","妖","いたずらごころ"," すりぬけ","ようりょくそ","480","6.6","20"
"548","チュリネ","45","35","50","70","50","30","草","-","ようりょくそ"," マイペース","リーフガード","280","6.6","20"
"549","ドレディア","70","60","75","110","75","90","草","-","ようりょくそ"," マイペース","リーフガード","480","16.3","40"
"550","バスラオ赤","70","92","65","80","55","98","水","-","すてみ"," てきおうりょく","かたやぶり","460","18","40"
"550-1","バスラオ青","70","92","65","80","55","98","水","-","いしあたま"," てきおうりょく","かたやぶり","460","18","40"
"551","メグロコ","50","72","35","35","35","65","地","悪","いかく"," じしんかじょう","いかりのつぼ","292","15.2","40"
"552","ワルビル","60","82","45","45","45","74","地","悪","いかく"," じしんかじょう","いかりのつぼ","351","33.4","60"
"553","ワルビアル","95","117","80","65","70","92","地","悪","いかく"," じしんかじょう","いかりのつぼ","519","96.3","80"
"554","ダルマッカ","70","90","45","15","45","50","炎","-","はりきり","-","せいしんりょく","315","40","80"
"554-1","ダルマッカG","70","90","45","15","45","50","氷","-","はりきり","-","せいしんりょく","315","37.5","60"
"555","ヒヒダルマN","105","140","55","30","55","95","炎","-","ちからずく","-","ダルマモード","480","120","100"
"555-1","ヒヒダルマD","105","30","105","140","105","55","炎","超","ちからずく","-","ダルマモード","540","120","100"
"555-2","ヒヒダルマGN","105","140","55","30","55","95","氷","-","ごりむちゅう","-","ダルマモード","540","92.9","80"
"555-3","ヒヒダルマGD","105","160","55","30","55","135","氷","炎","ごりむちゅう","-","ダルマモード","540","92.9","80"
"556","マラカッチ","75","86","67","106","67","60","草","-","ちょすい"," ようりょくそ","よびみず","461","28","60"
"557","イシズマイ","50","65","85","35","35","55","虫","岩","がんじょう"," シェルアーマー","くだけるよろい","325","14.5","40"
"558","イワパレス","70","105","125","65","75","45","虫","岩","がんじょう"," シェルアーマー","くだけるよろい","485","200","120"
"559","ズルッグ","50","75","70","35","70","48","悪","格","だっぴ"," じしんかじょう","いかく","348","11.8","40"
"560","ズルズキン","65","90","115","45","115","58","悪","格","だっぴ"," じしんかじょう","いかく","488","30","60"
"561","シンボラー","72","58","80","103","80","97","超","飛","ミラクルスキン"," マジックガード","いろめがね","490","14","40"
"562","デスマス","38","30","85","55","65","30","霊","-","ミイラ","-","-","303","1.5","20"
"562-1","デスマス_G","38","55","85","30","65","30","地","霊","さまようたましい","-","-","303","1.5","20"
"563","デスカーン","58","50","145","95","105","30","霊","-","ミイラ","-","-","483","76.5","80"
"564","プロトーガ","54","78","103","53","45","22","水","岩","ハードロック"," がんじょう","すいすい","355","16.5","40"
"565","アバゴーラ","74","108","133","83","65","32","水","岩","ハードロック"," がんじょう","すいすい","495","81","80"
"566","アーケン","55","112","45","74","45","70","岩","飛","よわき","-","-","401","9.5","20"
"567","アーケオス","75","140","65","112","65","110","岩","飛","よわき","-","-","567","32","60"
"568","ヤブクロン","50","50","62","40","62","65","毒","-","あくしゅう"," ねんちゃく","ゆうばく","329","31","60"
"569","ダストダス","80","95","82","60","82","75","毒","-","あくしゅう"," くだけるよろい","ゆうばく","474","107.3","100"
"570","ゾロア","40","65","40","80","40","65","悪","-","イリュージョン","-","-","330","12.5","40"
"571","ゾロアーク","60","105","60","120","60","105","悪","-","イリュージョン","-","-","510","81.1","80"
"572","チラーミィ","55","50","40","40","40","75","ノ","-","メロメロボディ"," テクニシャン","スキルリンク","300","5.8","20"
"573","チラチーノ","75","95","60","65","60","115","ノ","-","メロメロボディ"," テクニシャン","スキルリンク","470","7.5","20"
"574","ゴチム","45","30","50","55","65","45","超","-","おみとおし"," かちき","かげふみ","290","5.8","20"
"575","ゴチミル","60","45","70","75","85","55","超","-","おみとおし"," かちき","かげふみ","390","18","40"
"576","ゴチルゼル","70","55","95","95","110","65","超","-","おみとおし"," かちき","かげふみ","490","44","80"
"577","ユニラン","45","30","40","105","50","20","超","-","ぼうじん"," マジックガード","さいせいりょく","290","1","20"
"578","ダブラン","65","40","50","125","60","30","超","-","ぼうじん"," マジックガード","さいせいりょく","370","8","20"
"579","ランクルス","110","65","75","125","85","30","超","-","ぼうじん"," マジックガード","さいせいりょく","490","20.1","40"
"580","コアルヒー","62","44","50","44","50","55","水","飛","するどいめ"," はとむね","うるおいボディ","305","5.5","20"
"581","スワンナ","75","87","63","87","63","98","水","飛","するどいめ"," はとむね","うるおいボディ","473","24.2","40"
"582","バニプッチ","36","50","50","65","60","44","氷","-","アイスボディ"," ゆきがくれ","くだけるよろい","305","5.7","20"
"583","バニリッチ","51","65","65","80","75","59","氷","-","アイスボディ"," ゆきがくれ","くだけるよろい","395","41","80"
"584","バイバニラ","71","95","85","110","95","79","氷","-","アイスボディ"," ゆきふらし","くだけるよろい","535","57.5","80"
"585","シキジカ","60","60","50","40","50","75","ノ","虫","ようりょくそ"," そうしょく","てんのめぐみ","335","19.5","40"
"586","メブキジカ","80","100","70","60","70","95","ノ","虫","ようりょくそ"," そうしょく","てんのめぐみ","475","92.5","80"
"587","エモンガ","55","75","60","75","60","103","電","飛","せいでんき","-","でんきエンジン","428","5","20"
"588","カブルモ","50","75","45","40","45","60","虫","-","むしのしらせ"," だっぴ","ノーガード","315","5.9","20"
"589","シュバルゴ","70","135","105","60","105","20","虫","鋼","むしのしらせ"," シェルアーマー","ぼうじん","495","33","60"
"590","タマゲタケ","69","55","45","55","55","15","草","毒","ほうし","-","さいせいりょく","294","1","20"
"591","モロバレル","114","85","70","85","80","30","草","毒","ほうし","-","さいせいりょく","464","10.5","40"
"592","プルリル","55","40","50","65","85","40","水","霊","ちょすい"," のろわれボディ","しめりけ","335","33","60"
"593","ブルンゲル","100","60","70","85","105","60","水","霊","ちょすい"," のろわれボディ","しめりけ","480","135","100"
"594","ママンボウ","165","75","80","40","45","65","水","-","いやしのこころ"," うるおいボディ","さいせいりょく","470","31.6","60"
"595","バチュル","50","47","50","57","50","65","虫","電","ふくがん"," きんちょうかん","むしのしらせ","319","0.6","20"
"596","デンチュラ","70","77","60","97","60","108","虫","電","ふくがん"," きんちょうかん","むしのしらせ","472","14.3","40"
"597","テッシード","44","50","91","24","86","10","草","鋼","てつのトゲ","-","てつのトゲ","305","18.8","40"
"598","ナットレイ","74","94","131","54","116","20","草","鋼","てつのトゲ","-","きけんよち","489","110","100"
"599","ギアル","40","55","70","45","60","30","鋼","-","プラス"," マイナス","クリアボディ","300","21","40"
"600","ギギアル","60","80","95","70","85","50","鋼","-","プラス"," マイナス","クリアボディ","440","51","80"
"601","ギギギアル","60","100","115","70","85","90","鋼","-","プラス"," マイナス","クリアボディ","520","81","80"
"602","シビシラス","35","55","40","45","40","60","電","-","ふゆう","-","-","275","0.3","20"
"603","シビビール","65","85","70","75","70","40","電","-","ふゆう","-","-","405","22","40"
"604","シビルドン","85","115","80","105","80","50","電","-","ふゆう","-","-","515","80.5","80"
"605","リグレー","55","55","55","85","55","30","超","-","テレパシー"," シンクロ","アナライズ","335","9","20"
"606","オーベム","75","75","75","125","95","40","超","-","テレパシー"," シンクロ","アナライズ","485","34.5","60"
"607","ヒトモシ","50","30","55","65","55","20","霊","炎","もらいび"," ほのおのからだ","すりぬけ","275","3.1","20"
"608","ランプラー","60","40","60","95","60","55","霊","炎","もらいび"," ほのおのからだ","すりぬけ","370","13","40"
"609","シャンデラ","60","55","90","145","90","80","霊","炎","もらいび"," ほのおのからだ","すりぬけ","520","34.3","60"
"610","キバゴ","46","87","60","30","40","57","竜","-","とうそうしん"," かたやぶり","きんちょうかん","320","18","40"
"611","オノンド","66","117","70","40","50","67","竜","-","とうそうしん"," かたやぶり","きんちょうかん","410","36","60"
"612","オノノクス","76","147","90","60","70","97","竜","-","とうそうしん"," かたやぶり","きんちょうかん","540","105.5","100"
"613","クマシュン","55","70","40","60","40","40","氷","-","ゆきがくれ"," ゆきかき","びびり","305","8.5","20"
"614","ツンベアー","95","130","80","70","80","50","氷","-","ゆきがくれ"," ゆきかき","びびり","505","260","120"
"615","フリージオ","80","50","50","95","135","105","氷","-","ふゆう","-","-","515","148","100"
"616","チョボマキ","50","40","85","40","65","25","虫","-","うるおいボディ"," シェルアーマー","ぼうじん","305","7.7","20"
"617","アギルダー","80","70","40","100","60","145","虫","-","うるおいボディ"," ねんちゃく","かるわざ","495","25.3","60"
"618","マッギョ","109","66","84","81","99","32","地","電","せいでんき"," じゅうなん","すながくれ","471","11","40"
"618-1","マッギョ_G","109","81","99","66","84","32","地","鋼","ぎたい","-","-","471","20.5","40"
"619","コジョフー","45","85","50","55","50","65","格","-","せいしんりょく"," さいせいりょく","すてみ","350","20","40"
"620","コジョンド","65","125","60","95","60","105","格","-","せいしんりょく"," さいせいりょく","すてみ","510","35.5","60"
"621","クリムガン","77","120","90","60","90","48","竜","-","さめはだ"," ちからずく","かたやぶり","485","139","100"
"622","ゴビット","59","74","50","35","50","35","地","霊","てつのこぶし"," ぶきよう","ノーガード","303","92","80"
"623","ゴルーグ","89","124","80","55","80","55","地","霊","てつのこぶし"," ぶきよう","ノーガード","483","330","120"
"624","コマタナ","45","85","70","40","40","60","悪","鋼","まけんき"," せいしんりょく","プレッシャー","340","10.2","40"
"625","キリキザン","65","125","100","60","70","70","悪","鋼","まけんき"," せいしんりょく","プレッシャー","490","70","80"
"626","バッフロン","95","110","95","40","95","55","ノ","-","すてみ"," そうしょく","ぼうおん","490","94.6","80"
"627","ワシボン","70","83","50","37","50","60","ノ","飛","するどいめ"," ちからずく","はりきり","350","10.5","40"
"628","ウォーグル","100","123","75","57","75","80","ノ","飛","するどいめ"," ちからずく","まけんき","510","41","80"
"629","バルチャイ","70","55","75","45","65","60","悪","飛","はとむね"," ぼうじん","くだけるよろい","370","9","20"
"630","バルジーナ","110","65","105","55","95","80","悪","飛","はとむね"," ぼうじん","くだけるよろい","510","39.5","60"
"631","クイタラン","85","97","66","105","66","65","炎","-","くいしんぼう"," もらいび","しろいけむり","484","58","80"
"632","アイアント","58","109","112","48","48","109","虫","鋼","むしのしらせ"," はりきり","なまけ","484","33","60"
"633","モノズ","52","65","50","45","50","38","悪","竜","はりきり","-","-","300","17.3","40"
"634","ジヘッド","72","85","70","65","70","58","悪","竜","はりきり","-","-","420","50","80"
"635","サザンドラ","92","105","90","125","90","98","悪","竜","ふゆう","-","-","600","160","100"
"636","メラルバ","55","85","55","50","55","60","虫","炎","ほのおのからだ","-","むしのしらせ","360","28.8","60"
"637","ウルガモス","85","60","65","135","105","100","虫","炎","ほのおのからだ","-","むしのしらせ","550","46","80"
"638","コバルオン","91","90","129","90","72","108","鋼","格","せいぎのこころ","-","-","580","250","120"
"639","テラキオン","91","129","90","72","90","108","岩","格","せいぎのこころ","-","-","580","260","120"
"640","ビリジオン","91","90","72","90","129","108","草","格","せいぎのこころ","-","-","580","200","120"
"641","トルネロス化身","79","115","70","125","80","111","飛","-","いたずらごころ","-","まけんき","580","63","80"
"641-1","トルネロス霊獣","79","100","80","110","90","121","飛","-","さいせいりょく","-","-","580","63","80"
"642","ボルトロス化身","79","115","70","125","80","111","電","飛","いたずらごころ","-","まけんき","580","61","80"
"642-1","ボルトロス霊獣","79","105","70","145","80","101","電","飛","ちくでん","-","-","580","61","80"
"643","レシラム","100","120","100","150","120","90","竜","炎","ターボブレイズ","-","-","680","330","120"
"644","ゼクロム","100","150","120","120","100","90","竜","電","テラボルテージ","-","-","680","345","120"
"645","ランドロス化身","89","125","90","115","80","101","地","飛","すなのちから","-","ちからずく","600","68","80"
"645-1","ランドロス霊獣","89","145","90","105","80","91","地","飛","いかく","-","-","600","68","80"
"646","キュレム","125","130","90","130","90","95","竜","氷","プレッシャー","-","-","660","325","120"
"646-1","ブラックキュレム","125","170","100","120","90","95","竜","氷","テラボルテージ","-","-","700","325","120"
"646-2","ホワイトキュレム","125","120","90","170","100","95","竜","氷","ターボブレイズ","-","-","700","325","120"
"647","ケルディオ","91","72","90","129","90","108","水","格","せいぎのこころ","-","-","580","48.5","80"
"647-1","ケルディオ覚悟","91","72","90","129","90","108","水","格","せいぎのこころ","-","-","580","48.5","80"
"648","メロエッタＶ","100","77","77","128","128","90","ノ","超","てんのめぐみ","-","-","600","6.5","20"
"648-1","メロエッタＳ","100","128","90","77","77","128","ノ","格","てんのめぐみ","-","-","600","6.5","20"
"649","ゲノセクト","71","120","95","120","95","99","虫","鋼","ダウンロード","-","-","600","82.5","80"
"650","ハリマロン","56","61","65","48","45","38","草","-","しんりょく","-","ぼうだん","313","9","20"
"651","ハリボーグ","61","78","95","56","58","57","草","-","しんりょく","-","ぼうだん","405","29","60"
"652","ブリガロン","88","107","122","74","75","64","草","格","しんりょく","-","ぼうだん","530","90","80"
"653","フォッコ","40","45","40","62","60","60","炎","-","もうか","-","マジシャン","307","9.4","20"
"654","テールナー","59","59","58","90","70","73","炎","-","もうか","-","マジシャン","409","14.5","40"
"655","マフォクシー","75","69","72","114","100","104","炎","超","もうか","-","マジシャン","534","39","60"
"656","ケロマツ","41","56","40","62","44","71","水","-","げきりゅう","-","へんげんじざい","314","7","20"
"657","ゲコガシラ","54","63","52","83","56","97","水","-","げきりゅう","-","へんげんじざい","405","10.9","40"
"658","ゲッコウガ","72","95","67","103","71","122","水","悪","げきりゅう","-","へんげんじざい","530","40","80"
"659","ホルビー","38","36","38","32","36","57","ノ","-","ものひろい"," ほおぶくろ","ちからもち","237","40","80"
"660","ホルード","85","56","77","50","77","78","ノ","地","ものひろい"," ほおぶくろ","ちからもち","423","5","20"
"661","ヤヤコマ","45","50","43","40","38","62","ノ","飛","はとむね","-","はやてのつばさ","278","42.4","80"
"662","ヒノヤコマ","62","73","55","56","52","84","炎","飛","ほのおのからだ","-","はやてのつばさ","382","1.7","20"
"663","ファイアロー","78","81","71","74","69","126","炎","飛","ほのおのからだ","-","はやてのつばさ","499","16","40"
"664","コフキムシ","38","35","40","27","25","35","虫","-","りんぷん"," ふくがん","フレンドガード","200","24.5","40"
"665","コフーライ","45","22","60","27","30","29","虫","-","だっぴ","-","フレンドガード","213","2.5","20"
"666","ビビヨン","80","52","50","90","50","89","虫","飛","りんぷん"," ふくがん","フレンドガード","411","8.4","20"
"667","シシコ","62","50","58","73","54","72","炎","ノ","とうそうしん"," きんちょうかん","じしんかじょう","369","17","40"
"668","カエンジシ","86","68","72","109","66","106","炎","ノ","とうそうしん"," きんちょうかん","じしんかじょう","507","13.5","40"
"669","フラベベ","44","38","39","61","79","42","妖","-","フラワーベール","-","きょうせい","303","81.5","80"
"670","フラエッテ","54","45","47","75","98","52","妖","-","フラワーベール","-","きょうせい","371","0.1","20"
"670-1","フラエッテＡＺ","74","65","67","125","128","92","妖","-","フラワーベール","-","きょうせい","551","0.9","20"
"671","フラージェス","78","65","68","112","154","75","妖","-","フラワーベール","-","きょうせい","552","10","40"
"672","メェークル","66","65","48","62","57","52","草","-","そうしょく","-","くさのけがわ","350","31","60"
"673","ゴーゴート","123","100","62","97","81","68","草","-","そうしょく","-","くさのけがわ","531","91","80"
"674","ヤンチャム","67","82","62","46","48","43","格","-","てつのこぶし"," かたやぶり","きもったま","348","8","20"
"675","ゴロンダ","95","124","78","69","71","58","格","悪","てつのこぶし"," かたやぶり","きもったま","495","136","100"
"676","トリミアン","75","80","60","65","90","102","ノ","-","ファーコート","-","-","472","28","60"
"677","ニャスパー","62","48","54","63","60","68","超","-","するどいめ"," すりぬけ","マイペース","355","3.5","20"
"678","ニャオニクス♂","74","48","76","83","81","104","超","-","するどいめ"," すりぬけ","いたずらごころ","466","8.5","20"
"678-1","ニャオニクス♀","74","48","76","83","81","104","超","-","するどいめ"," すりぬけ","かちき","466","8.5","20"
"679","ヒトツキ","45","80","100","35","37","28","鋼","霊","ノーガード","-","-","325","2","20"
"680","ニダンギル","59","110","150","45","49","35","鋼","霊","ノーガード","-","-","448","4.5","20"
"681","ギルガルド盾","60","50","150","50","150","60","鋼","霊","バトルスイッチ","-","-","520","53","80"
"681-1","ギルガルド剣","60","150","50","150","50","60","鋼","霊","バトルスイッチ","-","-","520","53","80"
"682","シュシュプ","78","52","60","63","65","23","妖","-","いやしのこころ","-","アロマベール","341","0.5","20"
"683","フレフワン","101","72","72","99","89","29","妖","-","いやしのこころ","-","アロマベール","462","15.5","40"
"684","ペロッパフ","62","48","66","59","57","49","妖","-","スイートベール","-","かるわざ","341","3.5","20"
"685","ペロリーム","82","80","86","85","75","72","妖","-","スイートベール","-","かるわざ","480","5","20"
"686","マーイーカ","53","54","53","37","46","45","悪","超","あまのじゃく"," きゅうばん","すりぬけ","288","3.5","20"
